mechanism,player,org,pos,tier,age,il,appearances,rate_per_app,expected_rate,w,pm_before,pm_after,dollar_before,dollar_after,dollar_delta
floor released,Alek Thomas,FA (LAD),CF,T1,26,ACTIVE,34,4.26,3.69,0.33,0.5,1.046,0.54,1.06,0.52
floor released,Michael Lorenzen,FA (COL),SP,T1,34,ACTIVE,11,22.0,20.76,0.423,0.5,1.023,0.57,1.09,0.52
floor released,Javier Baez,FA (was Balking Dead),SS,T2,33,ACTIVE,50,5.04,4.49,0.42,0.5,1.047,0.53,1.04,0.51
floor released,Agustin Ramirez,FA,C,T3,24,ACTIVE,56,4.36,8.78,0.509,0.5,0.769,1.13,1.64,0.51
floor released,Romy Gonzalez,FA (BOS),1B,T1,29,ACTIVE,19,4.32,4.05,0.216,0.5,1.013,0.56,1.07,0.51
floor released,Noelvi Marte,FA (was KC Gray Hotdogs),3B,T3,24,ACTIVE,60,3.22,5.59,0.465,0.5,0.822,0.92,1.42,0.5
floor released,Amed Rosario,FA (NYY),3B,T2,30,ACTIVE,81,3.93,5.93,0.54,0.5,0.836,0.84,1.33,0.49
floor released,Lance McCullers Jr.,FA (was Dirty Spikes),SP,T2,32,ACTIVE,10,22.9,28.91,0.4,0.5,0.925,0.65,1.13,0.48
floor released,Nolan Gorman,FA (was High Cheddar),3B,T1,26,ACTIVE,73,3.64,5.99,0.514,0.5,0.819,0.85,1.32,0.47
floor released,Adam Frazier,FA (LAA),2B,T2,34,ACTIVE,57,3.47,5.53,0.452,0.5,0.848,0.75,1.21,0.46
floor released,Logan Allen,FA (CLE),SP,T1,27,ACTIVE,7,11.0,24.36,0.318,0.5,0.843,0.76,1.21,0.45
floor released,Brenton Doyle,FA (COL),CF,T2,28,ACTIVE,64,3.23,5.82,0.481,0.5,0.807,0.85,1.29,0.44
floor released,Jake Meyers,FA (HOU),CF,T1,30,ACTIVE,46,3.59,3.88,0.4,0.5,0.973,0.53,0.97,0.44
floor released,Tobias Myers,FA (NYM),RP,T1,27,ACTIVE,27,7.22,14.18,0.466,0.5,0.794,0.87,1.31,0.44
floor released,Chris Bassitt,FA (was MidwestBears),SP,T1,37,ACTIVE,17,20.29,27.45,0.531,0.5,0.875,0.67,1.1,0.43
floor released,Daniel Palencia,C-Town Liquors,RP,T3,26,ACTIVE,25,7.0,11.63,0.446,0.5,0.84,0.71,1.13,0.42
floor released,Victor Scott II,FA (STL),CF,T3,25,ACTIVE,60,2.83,4.7,0.465,0.5,0.834,0.73,1.15,0.42
floor released,Josh Lowe,FA (LAA),RF,T2,28,ACTIVE,93,3.58,5.77,0.574,0.5,0.804,0.8,1.22,0.42
floor released,Nelson Velazquez,FA (STL),RF,T1,27,ACTIVE,43,3.19,3.34,0.384,0.5,0.984,0.5,0.92,0.42
floor released,Victor Robles,FA (SEA),RF,T2,29,ACTIVE,49,3.59,5.64,0.415,0.5,0.864,0.67,1.09,0.42
floor released,German Marquez,FA (SD),SP,T2,31,ACTIVE,13,17.15,37.79,0.464,0.5,0.772,0.92,1.34,0.42
floor released,Jordan Montgomery,FA,SP,T2,33,ACTIVE,7,10.29,32.39,0.318,0.5,0.805,0.82,1.24,0.42
floor released,Tyler Ferguson,FA,RP,T1,32,ACTIVE,18,8.39,6.68,0.367,0.5,1.085,0.4,0.82,0.42
floor released,Matt Wallner,FA (MIN),RF,T1,28,ACTIVE,34,2.82,3.58,0.33,0.5,0.937,0.53,0.94,0.41
floor released,Austin Hays,FA (CHW),LF,T1,30,ACTIVE,27,3.33,4.67,0.281,0.5,0.928,0.55,0.96,0.41
floor released,Enrique Hernandez,FA (LAD),1B,T2,34,ACTIVE,25,2.96,4.75,0.266,0.5,0.91,0.56,0.96,0.4
floor released,Eric Wagaman,FA,1B,T1,27,ACTIVE,25,1.92,4.12,0.266,0.5,0.872,0.61,1.01,0.4
floor released,Blake Perkins,FA,CF,T2,29,ACTIVE,45,3.22,3.53,0.395,0.5,0.969,0.49,0.89,0.4
floor released,Jordan Beck,FA (COL),LF,T3,25,ACTIVE,49,2.27,5.06,0.415,0.5,0.793,0.77,1.16,0.39
floor released,Davis Schneider,FA (TOR),LF,T1,27,ACTIVE,56,2.88,3.19,0.448,0.5,0.96,0.47,0.86,0.39
floor released,Landon Knack,FA,SP,T1,28,ACTIVE,3,15.0,14.97,0.167,0.5,1.0,0.44,0.83,0.39
floor released,MJ Melendez,FA (NYM),LF,T1,27,ACTIVE,55,2.67,4.58,0.444,0.5,0.834,0.67,1.05,0.38
floor released,Santiago Espinal,FA,3B,T2,31,ACTIVE,30,2.4,3.85,0.303,0.5,0.897,0.55,0.93,0.38
floor released,Max Kepler,FA,LF,T2,33,ACTIVE,41,3.56,4.31,0.373,0.5,0.942,0.49,0.87,0.38
floor released,Evan Phillips,FA,RP,T2,31,ACTIVE,24,7.38,9.6,0.436,0.5,0.909,0.5,0.87,0.37
floor released,Connor Wong,FA (BOS),C,T2,30,ACTIVE,67,3.82,5.96,0.554,0.5,0.821,0.67,1.03,0.36
floor released,Connor Brogdon,FA,RP,T1,31,ACTIVE,15,7.93,5.63,0.326,0.5,1.12,0.32,0.68,0.36
floor released,Jose Urquidy,FA,SP,T1,30,ACTIVE,10,12.3,25.88,0.4,0.5,0.811,0.7,1.06,0.36
floor released,Gabriel Arias,FA (CLE),SS,T1,26,ACTIVE,47,2.74,3.16,0.405,0.5,0.952,0.45,0.8,0.35
floor released,Jake Rogers,FA,C,T2,28,ACTIVE,51,3.37,4.61,0.486,0.5,0.883,0.53,0.88,0.35
floor released,Trevor Williams,FA,SP,T2,33,ACTIVE,11,16.91,18.33,0.423,0.5,0.97,0.43,0.78,0.35
floor released,Starling Marte,FA (KC),DH,T2,37,ACTIVE,56,3.2,4.18,0.448,0.5,0.905,0.47,0.81,0.34
floor released,TJ Friedl,FA (CIN),CF,T1,30,ACTIVE,76,2.64,6.4,0.524,0.5,0.723,0.87,1.19,0.32
floor released,Bo Naylor,FA (CLE),C,T1,26,ACTIVE,28,1.82,5.46,0.341,0.5,0.795,0.64,0.96,0.32
floor released,Scott Barlow,FA (ATH),RP,T2,33,ACTIVE,36,6.11,9.74,0.537,0.5,0.82,0.59,0.91,0.32
floor released,Pavin Smith,FA (ARI),DH,T1,30,ACTIVE,28,3.11,2.34,0.289,0.5,1.085,0.3,0.61,0.31
floor released,Eric Haase,FA,C,T2,33,ACTIVE,27,2.7,4.07,0.333,0.5,0.899,0.46,0.77,0.31
floor released,Elias Diaz,FA,C,T2,35,ACTIVE,72,3.56,5.73,0.571,0.5,0.805,0.6,0.91,0.31
floor released,Eli Morgan,FA,RP,T2,30,ACTIVE,16,5.44,7.72,0.34,0.5,0.909,0.43,0.74,0.31
floor released,Dietrich Enns,FA,RP,T1,35,ACTIVE,13,7.31,4.78,0.295,0.5,1.141,0.27,0.58,0.31
floor released,Edgar Quero,FA (CHW),C,T3,23,ACTIVE,63,2.52,4.87,0.538,0.5,0.766,0.65,0.95,0.3
floor released,Will Benson,FA (CIN),RF,T2,28,ACTIVE,49,1.98,3.43,0.415,0.5,0.842,0.51,0.81,0.3
floor released,Jose Trevino,FA,C,T2,33,ACTIVE,41,3.46,3.91,0.432,0.5,0.956,0.38,0.68,0.3
floor released,Jason Foley,FA,RP,T1,30,ACTIVE,17,4.59,8.44,0.354,0.5,0.855,0.5,0.8,0.3
floor released,Jake Woodford,FA,RP,T2,29,ACTIVE,18,5.83,4.56,0.367,0.5,1.092,0.28,0.57,0.29
floor released,Mitch Garver,FA (SEA),C,T2,35,ACTIVE,47,3.28,4.35,0.465,0.5,0.897,0.41,0.69,0.28
floor released,Bennett Sousa,FA,RP,T1,30,ACTIVE,26,5.35,7.25,0.456,0.5,0.892,0.42,0.7,0.28
floor released,David Fry,FA (CLE),DH,T2,30,ACTIVE,79,2.25,3.67,0.534,0.5,0.815,0.49,0.76,0.27
floor released,Austin Slater,FA,LF,T2,33,ACTIVE,28,2.21,2.57,0.289,0.5,0.964,0.33,0.59,0.26
floor released,Cal Raleigh,Kansas Sunflower Seeds,C,T1,29,ACTIVE,109,5.12,14.39,0.669,0.5,0.612,1.61,1.86,0.25
floor released,Logan O'Hoppe,FA (LAA),C,T1,26,ACTIVE,82,2.96,6.67,0.603,0.5,0.698,0.75,0.98,0.23
floor released,Rob Refsnyder,FA,RF,T1,35,ACTIVE,53,1.79,2.77,0.434,0.5,0.862,0.36,0.58,0.22
floor released,Justin Lawrence,FA,RP,T2,31,ACTIVE,37,4.38,8.06,0.544,0.5,0.776,0.46,0.68,0.22
floor released,Chris Paddack,FA (CIN),SP,T2,30,ACTIVE,14,8.43,29.73,0.483,0.5,0.689,0.7,0.91,0.21
floor released,Ryan Borucki,FA,RP,T2,32,ACTIVE,21,4.1,4.57,0.404,0.5,0.962,0.25,0.46,0.21
floor released,Lucas Erceg,FA (was KC Gray Hotdogs),RP,T1,31,ACTIVE,47,4.57,9.34,0.603,0.5,0.723,0.56,0.76,0.2
floor released,Matt Svanson,FA,RP,T3,26,ACTIVE,41,3.73,9.45,0.569,0.5,0.69,0.62,0.81,0.19
floor released,Brenan Hanifee,FA,RP,T1,28,ACTIVE,23,3.0,4.82,0.426,0.5,0.855,0.3,0.49,0.19
floor released,Matt Strahm,FA (KC),RP,T2,34,ACTIVE,41,4.12,10.32,0.569,0.5,0.692,0.61,0.79,0.18
floor released,Ryan Walker,FA (SF),RP,T2,30,ACTIVE,33,3.09,14.1,0.516,0.5,0.638,0.88,1.06,0.18
floor released,Justin Topa,MidwestBears,RP,T1,35,ACTIVE,25,2.96,7.79,0.446,0.5,0.751,0.42,0.59,0.17
floor released,Austin Wells,FA (was High Cheddar),C,T1,26,ACTIVE,107,2.73,6.78,0.665,0.5,0.643,0.77,0.94,0.17
floor released,Pedro Pages,FA (STL),C,T1,27,ACTIVE,70,1.73,4.5,0.565,0.5,0.687,0.53,0.68,0.15
floor released,Kodai Senga,FA (NYM),SP,T2,33,ACTIVE,26,11.85,37.15,0.634,0.5,0.611,0.91,1.05,0.14
floor released,Danny Coulombe,FA,RP,T1,36,ACTIVE,29,2.62,5.87,0.483,0.5,0.759,0.3,0.42,0.12
floor released,Simeon Woods Richardson,FA (MIN),SP,T3,25,ACTIVE,20,4.85,27.77,0.571,0.5,0.576,0.95,1.04,0.09
floor released,Carlos Narvaez,FA (BOS),C,T1,27,ACTIVE,82,1.1,5.82,0.603,0.5,0.56,0.68,0.72,0.04
IL unparked,Zac Gallen,FA (was Balking Dead),SP,T2,30,IL-60,19,12.74,43.52,0.559,1.0,0.644,2.28,1.39,-0.89
IL unparked,Garrett Crochet,River Cats,SP,T1,27,IL-60,6,33.0,62.94,0.286,1.0,0.878,3.3,2.73,-0.57
IL unparked,Adolis Garcia,FA (was Kansas Sunflower Seeds),RF,T2,33,IL-60,67,3.19,7.23,0.493,1.0,0.753,1.75,1.24,-0.51
IL unparked,Spencer Strider,Dirty Spikes,SP,T1,27,IL-60,8,35.0,60.91,0.348,1.0,0.867,2.75,2.25,-0.5
IL unparked,Reynaldo Lopez,FA (ATL),SP,T2,32,IL-15,24,19.58,33.97,0.615,1.0,0.765,1.78,1.28,-0.5
IL unparked,Lucas Giolito,FA (SD),SP,T2,31,IL-60,7,9.0,39.3,0.318,1.0,0.779,1.9,1.4,-0.5
IL unparked,Jack Flaherty,MidwestBears,SP,T2,30,IL-15,19,31.53,46.39,0.559,1.0,0.839,2.31,1.83,-0.48
IL unparked,Mitch Keller,FA,SP,T2,30,IL-60,22,23.59,36.7,0.595,1.0,0.809,1.97,1.51,-0.46
IL unparked,Maikel Garcia,C-Town Liquors,3B,T1,26,IL-10,73,6.33,8.93,0.514,1.0,0.865,2.54,2.08,-0.46
IL unparked,Shane Bieber,FA (TOR),SP,T2,31,IL-15,11,26.91,44.91,0.423,1.0,0.847,2.05,1.64,-0.41
IL unparked,Edwin Diaz,KC Gray Hotdogs,RP,T1,32,IL-15,16,4.75,15.41,0.34,1.0,0.788,1.45,1.08,-0.37
IL unparked,Cole Ragans,FA (was Kansas Sunflower Seeds),SP,T1,28,IL-60,8,31.12,47.48,0.348,1.0,0.892,2.27,1.91,-0.36
IL unparked,Keegan Akin,Balking Dead,RP,T1,31,IL-60,24,3.29,10.51,0.436,1.0,0.73,1.11,0.76,-0.35
IL unparked,Ke'Bryan Hayes,FA (CIN),3B,T2,29,IL-10,66,2.68,5.14,0.489,1.0,0.789,1.37,1.02,-0.35
IL unparked,Eric Lauer,FA (LAD),SP,T1,31,IL-15,22,20.41,29.0,0.595,1.0,0.841,1.68,1.33,-0.35
IL unparked,Yoan Moncada,FA (LAA),3B,T2,31,IL-60,41,1.93,5.88,0.373,1.0,0.774,1.26,0.92,-0.34
IL unparked,Aaron Judge,High Cheddar,RF,T1,34,IL-60,59,9.0,10.95,0.461,1.0,0.926,2.64,2.31,-0.33
IL unparked,Masyn Winn,MidwestBears,SS,T3,24,IL-10,120,6.28,7.4,0.635,1.0,0.913,2.27,1.95,-0.32
IL unparked,Shane McClanahan,High Cheddar,SP,T1,29,IL-15,24,34.88,43.79,0.615,1.0,0.887,1.91,1.6,-0.31
IL unparked,Willy Adames,MidwestBears,SS,T1,30,IL-10,121,6.33,7.59,0.637,1.0,0.905,2.16,1.85,-0.31
IL unparked,Brendan Donovan,FA (SEA),2B,T1,29,IL-7,39,4.95,7.21,0.361,1.0,0.898,1.92,1.63,-0.29
IL unparked,Shawn Armstrong,FA,RP,T1,35,IL-60,38,6.21,11.15,0.551,1.0,0.78,1.11,0.82,-0.29
IL unparked,Jorge Polanco,FA (NYM),DH,T2,32,IL-60,37,1.68,5.17,0.349,1.0,0.788,1.13,0.84,-0.29
IL unparked,Brent Rooker,FA (was High Cheddar),DH,T1,31,IL-60,48,5.52,7.35,0.41,1.0,0.908,1.87,1.6,-0.27
IL unparked,Miguel Andujar,FA (SD),3B,T2,31,IL-10,74,4.42,6.33,0.517,1.0,0.859,1.41,1.14,-0.27
IL unparked,Will Vest,FA (DET),RP,T1,31,IL-60,27,6.15,10.76,0.466,1.0,0.82,1.19,0.92,-0.27
IL unparked,Ryan O'Hearn,Balking Dead,1B,T1,32,IL-10,96,8.11,5.49,0.582,1.0,1.25,1.46,1.72,0.26
IL unparked,Tyler Soderstrom,Kansas Sunflower Seeds,LF,T3,24,IL-60,109,7.36,8.09,0.612,1.0,0.95,2.4,2.15,-0.25
IL unparked,Nick Pivetta,MidwestBears,SP,T1,33,IL-60,4,38.25,49.03,0.211,1.0,0.958,2.54,2.29,-0.25
IL unparked,Edward Cabrera,FA (CHC),SP,T1,28,IL-15,15,24.6,30.7,0.5,1.0,0.911,1.79,1.54,-0.25
IL unparked,Dansby Swanson,Dirty Spikes,SS,T1,32,IL-10,119,8.13,5.87,0.633,1.0,1.219,1.56,1.8,0.24
IL unparked,Nathan Eovaldi,Balking Dead,SP,T1,36,IL-15,22,43.68,30.33,0.595,1.0,1.235,1.37,1.6,0.23
IL unparked,Tyler O'Neill,FA (BAL),RF,T2,31,IL-10,83,3.92,5.45,0.546,1.0,0.861,1.22,0.99,-0.23
IL unparked,Tanner Banks,FA (PHI),RP,T1,34,IL-60,28,3.82,8.1,0.475,1.0,0.774,0.86,0.63,-0.23
IL unparked,Luis Robert Jr.,FA (NYM),CF,T2,28,IL-10,60,5.42,6.64,0.465,1.0,0.923,1.71,1.49,-0.22
IL unparked,Justin Sterner,MidwestBears,RP,T1,28,IL-60,46,5.98,8.65,0.597,1.0,0.834,1.01,0.79,-0.22
IL unparked,Jordan Leasure,FA (CHW),RP,T1,27,IL-60,18,5.89,10.25,0.367,1.0,0.859,1.15,0.93,-0.22
IL unparked,Devin Williams,MidwestBears,RP,T1,31,IL-15,42,10.45,12.81,0.575,1.0,0.905,1.44,1.23,-0.21
IL unparked,Ryan Helsley,Balking Dead,RP,T2,31,IL-60,17,10.88,14.76,0.354,1.0,0.916,1.49,1.29,-0.2
IL unparked,Jacob Wilson,KC Gray Hotdogs,SS,T3,24,IL-60,80,7.22,7.72,0.537,1.0,0.969,2.29,2.09,-0.2
IL unparked,Patrick Corbin,FA (TOR),SP,T2,36,IL-60,19,18.37,24.73,0.559,1.0,0.871,1.16,0.96,-0.2
IL unparked,Garrett Cleavinger,High Cheddar,RP,T1,32,IL-15,51,8.69,10.91,0.622,1.0,0.886,1.25,1.05,-0.2
IL unparked,Jason Adam,FA,RP,T1,34,IL-60,36,8.39,11.16,0.537,1.0,0.88,1.13,0.94,-0.19
IL unparked,Cole Sands,FA (MIN),RP,T1,28,IL-60,13,4.85,9.65,0.295,1.0,0.868,1.06,0.87,-0.19
IL unparked,Joe Ryan,Kansas Sunflower Seeds,SP,T1,30,IL-15,23,42.3,43.61,0.605,1.0,0.984,2.52,2.34,-0.18
IL unparked,Jack Leiter,FA (TEX),SP,T3,26,IL-60,15,30.6,19.94,0.5,1.0,1.24,1.1,1.28,0.18
IL unparked,Nick Mears,FA,RP,T1,29,IL-60,21,4.38,7.97,0.404,1.0,0.836,0.88,0.7,-0.18
IL unparked,Xavier Edwards,MidwestBears,2B,T1,26,IL-10,135,7.06,7.36,0.662,1.0,0.976,2.14,1.97,-0.17
IL unparked,Hunter Greene,River Cats,SP,T3,26,IL-60,5,34.8,40.87,0.25,1.0,0.967,1.99,1.82,-0.17
IL unparked,Kyle Freeland,FA (COL),SP,T2,33,IL-15,24,21.08,25.55,0.615,1.0,0.903,1.17,1.0,-0.17
IL unparked,Jeremiah Estrada,KC Gray Hotdogs,RP,T1,27,IL-15,33,9.73,11.38,0.516,1.0,0.933,1.34,1.18,-0.16
IL unparked,Ben Brown,Kansas Sunflower Seeds,SP,T3,26,IL-60,20,30.3,22.06,0.571,1.0,1.192,1.34,1.5,0.16
IL unparked,Matt Chapman,MidwestBears,3B,T2,33,IL-60,84,5.61,6.32,0.549,1.0,0.944,1.45,1.29,-0.16
IL unparked,Kerry Carpenter,FA (DET),RF,T1,28,IL-10,81,4.54,5.18,0.54,1.0,0.94,1.44,1.28,-0.16
IL unparked,Ryan Thompson,FA (ARI),RP,T1,33,IL-60,46,4.74,6.96,0.597,1.0,0.829,0.75,0.59,-0.16
IL unparked,Fernando Cruz,FA,RP,T1,36,IL-15,61,8.72,10.15,0.663,1.0,0.916,1.1,0.95,-0.15
IL unparked,Spencer Steer,Dirty Spikes,1B,T1,28,IL-10,98,6.45,6.67,0.587,1.0,0.983,1.9,1.76,-0.14
IL unparked,Mike Burrows,FA (HOU),SP,T3,26,IL-60,18,19.39,12.84,0.545,1.0,1.25,0.78,0.92,0.14
IL unparked,Luke Raley,FA (was Kansas Sunflower Seeds),RF,T2,31,IL-60,93,4.12,4.69,0.574,1.0,0.937,1.2,1.07,-0.13
IL unparked,Trent Grisham,MidwestBears,CF,T1,29,IL-10,120,6.96,7.05,0.635,1.0,0.992,1.97,1.84,-0.13
IL unparked,Kris Bubic,FA (KC),SP,T1,28,IL-60,9,38.89,26.52,0.375,1.0,1.157,1.48,1.61,0.13
IL unparked,Shea Langeliers,MidwestBears,C,T1,28,IL-10,93,7.73,7.93,0.633,1.0,0.986,1.77,1.65,-0.12
IL unparked,Rhys Hoskins,FA (CLE),1B,T2,33,IL-10,95,4.83,5.16,0.579,1.0,0.967,1.3,1.18,-0.12
IL unparked,Harrison Bader,FA (SF),CF,T1,32,IL-60,30,3.8,4.63,0.303,1.0,0.951,1.19,1.07,-0.12
IL unparked,Matt Vierling,FA (DET),CF,T2,29,IL-60,84,4.2,4.66,0.549,1.0,0.952,1.17,1.05,-0.12
IL unparked,Luis Severino,FA (ATH),SP,T2,32,IL-60,12,32.33,34.79,0.444,1.0,0.972,1.42,1.3,-0.12
IL unparked,JT Brubaker,FA,RP,T2,32,IL-15,41,7.95,9.49,0.569,1.0,0.917,0.92,0.8,-0.12
IL unparked,Angel Zerpa,FA,RP,T1,27,IL-60,12,2.92,5.9,0.279,1.0,0.873,0.66,0.54,-0.12
IL unparked,Sam Hentges,FA,RP,T1,29,IL-15,40,5.72,7.01,0.563,1.0,0.907,0.79,0.67,-0.12
IL unparked,Robert Garcia,FA (was Kansas Sunflower Seeds),RP,T1,30,IL-60,9,4.22,7.4,0.225,1.0,0.913,0.82,0.71,-0.11
IL unparked,Phil Maton,MidwestBears,RP,T1,33,IL-60,31,4.87,6.54,0.5,1.0,0.885,0.67,0.56,-0.11
IL unparked,Carlos Correa,FA (HOU),SS,T1,31,IL-60,32,8.78,5.82,0.317,1.0,1.145,1.3,1.41,0.11
IL unparked,Joey Bart,FA (PIT),C,T1,29,IL-10,42,3.48,4.21,0.438,1.0,0.932,0.9,0.79,-0.11
IL unparked,Ron Marinaccio,FA,RP,T2,30,OUT,41,6.0,6.97,0.569,1.0,0.929,0.87,0.76,-0.11
IL unparked,Willi Castro,River Cats,RF,T2,29,IL-10,119,6.39,5.2,0.633,1.0,1.13,1.45,1.55,0.1
IL unparked,Jonathan India,FA (KC),2B,T2,29,IL-60,16,7.12,7.31,0.188,1.0,0.996,1.72,1.62,-0.1
IL unparked,Jake Fraley,FA,RF,T2,31,IL-60,28,2.93,3.94,0.289,1.0,0.934,0.89,0.79,-0.1
IL unparked,Robert Suarez,River Cats,RP,T1,35,IL-60,31,12.68,12.82,0.5,1.0,0.995,1.37,1.28,-0.09
IL unparked,Andrew Nardi,FA,RP,T1,27,IL-60,25,7.72,8.96,0.446,1.0,0.945,0.88,0.79,-0.09
IL unparked,Ceddanne Rafaela,High Cheddar,CF,T3,25,IL-10,133,6.97,6.72,0.658,1.0,1.022,2.05,1.98,-0.07
IL unparked,Masataka Yoshida,FA (BOS),DH,T2,32,IL-10,87,5.68,5.6,0.558,1.0,1.007,1.4,1.33,-0.07
IL unparked,Andy Pages,Dirty Spikes,CF,T3,25,IL-10,127,8.09,7.04,0.648,1.0,1.088,2.15,2.21,0.06
IL unparked,Nolan Schanuel,High Cheddar,1B,T3,24,IL-10,107,7.01,6.63,0.608,1.0,1.031,2.08,2.02,-0.06
IL unparked,Pete Fairbanks,High Cheddar,RP,T1,32,IL-15,44,11.11,9.07,0.587,1.0,1.119,0.99,1.05,0.06
IL unparked,Matt Brash,FA,RP,T1,28,IL-60,20,9.3,9.26,0.392,1.0,1.001,1.05,0.99,-0.06
IL unparked,Kyle Higashioka,FA (TEX),C,T1,36,IL-10,53,3.74,3.98,0.495,1.0,0.972,0.79,0.73,-0.06
IL unparked,Brad Keller,FA,RP,T1,30,IL-60,32,9.66,9.6,0.508,1.0,1.003,0.88,0.83,-0.05
IL unparked,Stephen Kolek,FA (KC),SP,T1,29,IL-60,10,25.9,19.67,0.4,1.0,1.114,1.03,1.08,0.05
IL unparked,Jalen Beeks,FA,RP,T1,32,IL-60,29,6.1,6.34,0.483,1.0,0.984,0.66,0.61,-0.05
IL unparked,Gavin Sheets,High Cheddar,LF,T1,30,IL-10,122,5.54,5.27,0.639,1.0,1.029,1.5,1.46,-0.04
IL unparked,Ryne Nelson,FA (ARI),SP,T1,28,IL-60,15,27.0,25.24,0.5,1.0,1.031,1.41,1.37,-0.04
IL unparked,Kirby Yates,FA (LAA),RP,T2,39,IL-15,44,7.66,6.06,0.587,1.0,1.139,0.52,0.56,0.04
IL unparked,Mark Leiter Jr.,FA (ATH),RP,T2,35,IL-60,36,8.44,8.38,0.537,1.0,1.004,0.81,0.77,-0.04
IL unparked,Josh Jung,C-Town Liquors,3B,T1,28,IL-10,92,6.25,5.84,0.571,1.0,1.036,1.5,1.47,-0.03
IL unparked,Cionel Perez,FA,RP,T2,30,IL-15,36,7.64,7.21,0.537,1.0,1.029,0.82,0.79,-0.03
IL unparked,Michael Soroka,FA (was High Cheddar),SP,T1,28,IL-15,18,39.56,36.15,0.545,1.0,1.046,1.73,1.71,-0.02
IL unparked,Giancarlo Stanton,MidwestBears,RF,T2,36,IL-60,24,5.08,3.6,0.258,1.0,1.096,0.7,0.72,0.02
IL unparked,Nick Kurtz,River Cats,1B,T3,23,IL-60,99,9.24,8.25,0.589,1.0,1.064,2.55,2.57,0.02
IL unparked,Brandon Woodruff,FA (was River Cats),SP,T2,33,IL-60,9,43.67,36.06,0.375,1.0,1.071,1.49,1.51,0.02
IL unparked,Wenceel Perez,FA (DET),RF,T1,26,IL-60,53,4.85,4.0,0.434,1.0,1.083,1.07,1.09,0.02
IL unparked,Adrian Houser,FA (SF),SP,T1,33,IL-60,26,20.5,17.61,0.634,1.0,1.094,0.88,0.9,0.02
IL unparked,Ramon Laureano,FA,LF,T1,31,IL-60,53,4.98,4.4,0.434,1.0,1.052,0.95,0.94,-0.01
IL unparked,Anthony Banda,FA (MIN),RP,T1,32,IL-15,39,7.26,6.56,0.557,1.0,1.053,0.73,0.72,-0.01
IL unparked,Jose Quintana,FA (COL),SP,T2,37,IL-60,9,11.22,10.55,0.375,1.0,1.022,0.4,0.39,-0.01
IL unparked,Zack Kelly,FA,RP,T2,31,IL-60,17,6.06,5.38,0.354,1.0,1.04,0.63,0.62,-0.01
